"repo","skill","group","path","status","trigger","bytes","desc_tokens","skill_tokens","description"
"codeswithroh/tastemaker","ideagram","skills/tastemaker","skills/tastemaker/ideagram","absent","auto","15127","161","2213","Turn a concept, feature description, blog post, or pitch into a single beautiful, on-brand illustration by matching it to a real unDraw illustration in a local library and recoloring it to the brand accent — genuine illustrator quality, not an AI-drawn approximation. Use whenever the user asks to ""make an illustration,"" ""create a graphic,"" ""visualize this concept,"" ""explain this visually,"" wants something ""unDraw-style"" or ""Storyset-style,"" needs a hero/feature/blog illustration, or says an idea needs a picture. Trigger even if they don't name a style — ""make something to explain X"" or ""I need a graphic for this tweet"" both qualify."
"codeswithroh/tastemaker","tastemaker","skills","skills/tastemaker","absent","auto","59136","218","13769","Generate genuinely beautiful, on-brand UI instead of generic ""AI slop"" — use whenever the user asks to build, design, style, or improve a UI, landing page, dashboard, app screen, or component, whenever a PRD/spec needs a design pass before implementation, whenever the user pastes reference images/Pinterest/Dribbble links and wants the app to look like them, or whenever the user complains the AI-generated UI looks generic, boring, cookie-cutter, or ""like every other AI app."" Make sure to trigger this even if the user doesn't say ""design"" explicitly — phrases like ""make this look good"", ""build the frontend for X"", ""this looks like every other SaaS site"", or ""match this vibe"" all qualify. Also triggers on two verbs, ""study""/""extract the look of"" a reference screenshot or URL, and ""audit""/""review""/""why does this look AI-generated"" for critiquing existing UI."
"ConardLi/garden-skills","beautiful-article","skills","skills/beautiful-article","absent","auto","81564","201","7987","把用户提供的素材（网页 URL / PDF / DOCX / Markdown / 纯文本 / 截图 / 粘贴材料）编辑、设计成一篇美丽的、可离线打开和分享的**单文件 HTML 网页文章**。基于 reacticle 组件协议：不手写裸 HTML/CSS，而用语义组件 + 受主题约束的 Raw 自由层；按 source→规划→双确认→生成→终审→修复的小型 harness 流程推进，默认 100% 信息保留的长文。触发场景：把 URL/PDF/DOCX/文章做成网页文章 / 长文 / briefing / 解释文 / 视觉文章 / 教程 / 审阅复盘 / 方案分析，'render this as a beautiful web article / 把这篇做成网页文章 / 生成一篇可分享的 HTML 长文 / reacticle 文章'。只生成文章，不生成后台、表单、dashboard、产品原型或通用 Web App。"
"ConardLi/garden-skills","gpt-image-2","skills","skills/gpt-image-2","absent","auto","66446","146","6786","面向 GPT Image 2 的图像生成 / 编辑技能。可在 3 种环境下使用：(A) Garden 本地模式，通过 OpenAI 兼容接口直接出图并落盘；(B) Host-Native 模式，把本 Skill 当作提示词工程指引，把渲染好的 prompt 交给宿主 Agent 自带的图像工具出图；(C) Advisor 模式，宿主无任何图像工具时退化为高质量 prompt 顾问。涵盖 18 大类、80+ 个结构化模板，覆盖海报 / UI / 产品 / 信息图 / 学术图 / 技术架构图 / 漫画 / 头像 / 流程板 / 电影分镜 / IP 周边 / 编辑工作流等场景。"
"ConardLi/garden-skills","kb-retriever","skills","skills/kb-retriever","absent","auto","29225","96","3559","面向本地知识库目录的检索和问答助手。核心流程：(1)分层索引导航 (2)遇到PDF/Excel时必须先读取references学习处理方法 (3)处理文件后再检索。按文件类型组合使用 grep、Read、pdfplumber、pandas 进行渐进式检索，避免整文件加载。用户问题涉及""从知识库目录回答问题/检索信息/查资料""时使用。"
"ConardLi/garden-skills","web-design-engineer","skills","skills/web-design-engineer","absent","auto","93345","114","8975","Build or redesign polished browser-rendered visual artifacts with HTML/CSS/JavaScript/React: pages, dashboards, prototypes, slide decks, animations, UI mockups, and data visualizations. Use for visual front-end creation, design-system exploration, design critique, or explicit browser acceptance / QA of a web artifact. Not for back-end, CLI, non-visual coding, source-to-longform article conversion, or narration-driven click-through video presentations."
"ConardLi/garden-skills","web-video-presentation","skills","skills/web-video-presentation","absent","auto","60554","269","5923","把一篇文章或口播稿，做成""看起来像视频""的点击驱动 16:9 网页演示，可选合成口播音频。流程：原始文章 → **一次产出**口播稿 + outline 开发计划 → 用户**一次对齐** 5 件事（稿子 / outline / 主题 / 素材 / 开发模式）→ 网页开发（逐章 / 顺序 / 并行）→ 可选音频合成（provider-agnostic：内置 MiniMax mmx-cli + OpenAI TTS，可换 ElevenLabs / edge-tts / Azure / 自带 TTS）。**outline 只规划节奏与信息密度，不规划动画** —— 动画由章节开发时按 PRINCIPLES + ANTI-AI 法则即时设计。每次点击推进口播稿的一个节拍，每一步独占整屏，进度条平时隐藏只在悬浮时出现。适用场景：用网页做视频（动态 PPT 但不像 PPT）、把口播稿 / 文章变成可交互的解说、为 B 站 / YouTube / 视频号录屏教程、做有电影感的产品 / talk demo。本 Skill 沉淀的是设计方法论 + 协作流程 —— 不绑定任何特定样式 / 字体 / 颜色 —— 因此能复用到任意主题与美学。"
"elayadesign/ai-design-skills","landing-page-design","skills","skills/landing-page-design","absent","auto","16931","164","4233","Complete system for building high converting landing pages: intake questions, page structure, layout selection, conversion copywriting, SEO, plus strict visual rules for typography, spacing, corner radius, backgrounds, hero layout, icons, and motion. Use this skill whenever building, editing, styling, reviewing, or writing copy for ANY landing page, marketing site, web UI, page section, component, or prototype, even when the user does not mention design, conversion, tokens, or a design system. Always consult it before choosing page sections, headlines, CTAs, fonts, font sizes, spacing values, border radii, background colors, icons, or transitions."
"emilkowalski/skills","animate","skills","skills/animate","installed","auto","20055","119","2944","Build an animation from scratch, making the decisions in the order that determines whether it feels right — should it animate at all, what purpose, which tool, which properties, which curve and duration, how it interrupts, how it exits. Writes the implementation. Use when asked to animate something, add motion, make a component feel alive, or build a transition. For critiquing existing motion use review-animations; for auditing a whole codebase use improve-animations."
"emilkowalski/skills","animate-expo","skills","skills/animate-expo","installed","auto","35012","132","4455","Build animations in React Native and Expo, making the decisions in the order that determines whether they feel right — should it animate, which thread it runs on, which properties, spring or timing, how the gesture hands off, how it degrades. Writes the implementation with Reanimated, Gesture Handler, Expo Router and expo-haptics. Use when animating anything in an Expo app, adding gestures, sheets, screen transitions, press feedback or haptics, or fixing motion that stutters on device. For web animation use `animate`."
"emilkowalski/skills","animation-vocabulary","skills","skills/animation-vocabulary","installed","auto","13301","108","3326","Reverse-lookup glossary that turns a vague description of a web animation or motion effect into its exact term (""the bouncy thing when a popover opens"" → Pop in; ""the iOS rubber-band scroll"" → Rubber-banding). Use when the user asks ""what's it called when…"", or describes a motion effect without knowing its name and wants the right word to prompt an AI or designer with. For naming an effect, not designing or building one."
"emilkowalski/skills","apple-design","skills","skills/apple-design","installed","auto","22997","107","5750","Apple's approach to interface design and fluid, physical motion, translated for the web. Use when building or reviewing gesture-driven UI, spring animations, drag/swipe/sheet interactions, momentum and interruptible transitions, translucent materials and depth, typography (optical sizing, tracking, leading), reduced-motion, or the design foundations (feedback, spatial consistency, restraint) behind Apple-style interfaces."
"emilkowalski/skills","ask-sonner","skills","skills/ask-sonner","installed","auto","11633","107","1756","Guide to Sonner, the React toast library — install and wire up the Toaster, pick the right toast() call, promise and loading toasts, updating, dismissing and persisting toasts, styling, theming and icons, positioning and multiple toasters. Use when working with Sonner or troubleshooting it — toasts that don't appear, appear twice, lose their styles, ignore Tailwind classes, sit behind a modal, or don't follow dark mode."
"emilkowalski/skills","emil-design-eng","skills","skills/emil-design-eng","installed","auto","27900","39","6975","This skill encodes Emil Kowalski's philosophy on UI polish, component design, animation decisions, and the invisible details that make software feel great."
"emilkowalski/skills","find-animation-opportunities","skills","skills/find-animation-opportunities","installed","auto","9623","90","2406","Search a codebase or UI for places that don't animate but should, and reject everything that shouldn't. Read-only; it proposes motion with exact values, it does not implement it. Use when the user asks ""what could be animated here?"" or wants to ""make this feel more alive"". For fixing existing animations, use improve-animations or review-animations instead."
